  Measurement Number     Measurement type
                  13           PUNDDouble

      Measurement ID                     
       739688.761802                     

        Voltage High          Voltage Low          Repetitions
                   3                   -3                 1000

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                 1000
         P          U          N          D
 8.894e-11 1.7121e-11 -9.555e-11 -3.4733e-12
8.0789e-11 7.8569e-12 -8.3758e-11 4.8178e-12
8.2967e-11 1.9677e-12 -8.2028e-11 3.4103e-12
1.0023e-10 -1.4986e-12 -8.7924e-11 3.1862e-12
9.0368e-11 5.7561e-12 -9.3351e-11 -1.0623e-11
9.5228e-11 7.5628e-13 -9.2693e-11 -1.6876e-12
9.0719e-11  1.077e-11 -7.0551e-11  2.829e-12
9.4997e-11 -7.4927e-13 -8.9136e-11 -6.9992e-15
9.2497e-11 3.4943e-12 -8.5018e-11 -8.4521e-12
9.6937e-11 -7.1987e-12 -8.1167e-11 -9.6216e-12
8.3303e-11 1.0364e-11 -9.2931e-11 1.1414e-12
9.3828e-11 -4.5237e-12 -9.2539e-11 -1.467e-11
8.5249e-11 1.1365e-11 -8.6181e-11  -2.78e-12
8.1083e-11 1.8837e-12 -9.0361e-11 4.2156e-12
8.6972e-11 -3.1652e-12 -8.7077e-11 7.2827e-13
 8.602e-11 1.5035e-11 -9.3884e-11 7.8919e-12
8.3975e-11  2.126e-11 -1.0003e-10 -7.6538e-12
9.4003e-11 -6.2533e-12 -9.3323e-11 3.7114e-12
8.5193e-11  1.077e-11 -8.4612e-11 -1.0154e-12
8.9892e-11 6.2463e-12 -8.9381e-11 -1.6218e-11
8.1769e-11 8.2701e-12 -9.868e-11 -3.3682e-12
9.6545e-11 1.6386e-12 -9.1755e-11 1.0574e-12
7.9619e-11 1.2864e-11 -9.0817e-11 2.0377e-12
7.7162e-11 -7.9129e-13 -8.9066e-11 -4.4256e-12
 8.929e-11  8.081e-12 -9.1174e-11 3.3752e-12
8.9507e-11  5.462e-13 -8.5032e-11  2.745e-12
8.5432e-11 7.2687e-12 -8.3331e-11 1.0574e-11
8.4605e-11 1.4145e-12 -8.9297e-11 -1.7997e-12
9.1279e-11 5.7491e-12 -8.8898e-11 -7.2057e-12
7.7477e-11 -4.9158e-12 -7.5103e-11 -2.0343e-11
9.4115e-11 1.0126e-11 -8.735e-11 -9.2014e-12
9.3513e-11 4.3416e-13 -8.2511e-11 -1.3893e-11
9.6664e-11 1.1141e-11 -7.1664e-11 -6.3654e-12
8.5341e-11 2.9481e-12 -8.6258e-11 -5.0909e-12
8.6293e-11 3.0391e-12 -8.9199e-11 -2.1008e-13
9.9759e-11 4.2856e-12 -9.0522e-11 -3.5433e-12
 9.735e-11 -8.8232e-13 -8.6664e-11 -1.2395e-12
8.2932e-11 1.4012e-11 -9.3373e-11 4.2716e-13
8.1902e-11 -6.5824e-13 -7.9535e-11 -3.9915e-13
9.0817e-11 1.3011e-11 -9.6846e-11 -1.3536e-11
8.8758e-11 9.3835e-13 -7.7407e-11 -9.4535e-12
9.5305e-11 -9.0333e-13 -9.0796e-11 -2.3599e-12
 9.228e-11 -7.0936e-12 -9.4276e-11 -3.1862e-12
9.3583e-11  8.249e-12 -9.2399e-11 2.0798e-12
8.6293e-11 -6.9466e-12 -8.2988e-11 -1.7682e-11
1.0171e-10 4.2506e-12 -8.5151e-11 4.9088e-12
8.4108e-11 1.7016e-12 -8.1041e-11 -6.0012e-12
 9.249e-11 9.9787e-12 -7.8037e-11 -2.647e-12
9.1307e-11 7.4927e-13 -8.873e-11 9.5235e-13
 8.672e-11 2.9481e-12 -8.8072e-11 1.0539e-11
8.9213e-11 2.1988e-12 -8.5831e-11 2.5069e-12
9.5102e-11 -5.6016e-14 -8.3905e-11 -2.1638e-12
 9.305e-11 1.3669e-11 -7.8065e-11 -2.0728e-12
8.4241e-11 -8.011e-12 -9.3737e-11 -4.9508e-12
1.0358e-10 2.2198e-12 -8.492e-11 -2.3739e-12
1.0107e-10 -1.8697e-12 -7.7379e-11 -3.9215e-12
8.8492e-11 -1.3795e-12 -7.4774e-11 -8.5221e-12
8.6104e-11 7.8639e-12 -8.0985e-11 3.7394e-12
9.2854e-11 9.6146e-12 -7.4227e-11 -9.3695e-12
9.0761e-11 -1.0924e-12 -8.9689e-11 -1.4145e-12
8.5509e-11 6.3724e-13 -9.0389e-11 -7.7029e-14
 9.408e-11 3.5012e-13 -8.7385e-11 -1.5707e-11
8.4703e-11 2.2058e-12 -8.8548e-11 -1.6526e-12
8.3135e-11 -1.0882e-11 -7.8387e-11 4.2013e-14
9.0123e-11 2.0307e-12 -8.9598e-11 -2.3949e-12
8.7539e-11 7.1146e-12 -9.9619e-11 -3.4943e-12
8.5467e-11 1.2149e-11 -9.5914e-11 1.0777e-11
8.9066e-11 4.5027e-12 -8.0649e-11 -8.7112e-12
9.7749e-11 1.7247e-11 -9.6748e-11 1.9887e-12
8.5873e-11 6.0432e-12 -1.029e-10 -3.8024e-12
9.6818e-11 -4.8388e-12 -8.6083e-11 1.3305e-13
7.9423e-11 1.4712e-11 -9.4633e-11 -1.257e-11
9.6496e-11 9.6286e-12 -8.1062e-11 -4.9018e-13
8.6783e-11 1.5196e-11 -9.6132e-11 -4.2156e-12
9.9948e-11 -8.3751e-12 -9.6279e-11 -1.8235e-11
7.8065e-11 4.9018e-12 -6.9039e-11 -4.3836e-12
9.3975e-11 8.4732e-13 -9.0116e-11 1.7787e-12
9.1986e-11 5.1259e-12 -8.8408e-11 -2.2268e-12
8.9528e-11 2.2268e-12 -8.6986e-11 -1.6603e-11
 8.616e-11 6.0502e-12 -9.4444e-11 -1.6386e-12
 9.193e-11 7.1847e-12 -9.1335e-11 -7.1636e-12
1.0012e-10 4.8878e-12 -9.5158e-11 -1.4236e-11
9.6237e-11 8.7252e-12 -8.7707e-11 -1.1099e-11
9.3856e-11 2.4159e-12 -9.8708e-11 -1.0126e-11
8.7077e-11 3.5993e-12 -8.8569e-11 -4.5867e-12
9.8176e-11 3.6554e-12 -9.5382e-11 4.8878e-12
1.0141e-10 8.6832e-13 -9.9367e-11 1.1624e-12
8.5642e-11 7.1917e-12 -9.5844e-11 -4.2296e-12
8.1258e-11  8.053e-12 -9.3316e-11 -1.1946e-11
9.5823e-11 -1.0133e-11 -8.5936e-11 6.8275e-12
9.0964e-11 -9.9997e-12 -9.1209e-11 -4.6497e-12
8.9066e-11 1.4705e-12 -8.2946e-11 6.7085e-12
7.9178e-11 1.3235e-12 -8.887e-11 6.4914e-12
8.4136e-11 5.1259e-12 -9.0564e-11  5.371e-12
9.4584e-11 9.7896e-12 -7.6209e-11 -8.7532e-12
8.9402e-11 9.4605e-12  -8.88e-11 -7.7169e-12
1.0585e-10 6.9116e-12 -9.978e-11 3.6343e-12
9.6398e-11 -1.4887e-11 -8.4325e-11 -7.9129e-12
8.8744e-11 7.2127e-12 -9.0894e-11 -5.1679e-12
9.1356e-11 -1.1092e-11 -8.8569e-11 -1.0028e-11
9.7847e-11 -9.4395e-12 -8.3352e-11 8.4311e-12
8.3352e-11 1.6806e-13 -9.3015e-11 -2.4159e-12
8.2673e-11 1.0399e-11 -9.1335e-11 -1.0483e-11
 9.151e-11 -4.6287e-12 -9.1923e-11 -3.2842e-12
8.9451e-11 6.6525e-12 -9.6146e-11 1.7794e-11
9.2168e-11 3.7674e-12 -8.3835e-11 -3.4243e-12
 1.032e-10 1.2465e-12 -9.742e-11 1.1554e-11
8.6958e-11 1.0686e-11 -8.5221e-11 -1.348e-11
8.9234e-11   2.78e-12  -8.77e-11 -2.0798e-12
8.0838e-11 1.0406e-11 -9.4962e-11 6.0432e-12
8.9507e-11 9.2574e-12 -8.8359e-11 5.6441e-12
9.6132e-11 -2.9831e-12 -7.4963e-11 -8.3611e-12
9.0501e-11 -2.745e-12 -8.4136e-11 -1.3858e-11
9.7707e-11 6.7225e-12 -8.046e-11 -8.7953e-12
 8.499e-11 9.0403e-12 -9.534e-11 1.1764e-12
1.0021e-10 -3.6764e-12 -9.3611e-11 -2.049e-11
8.8499e-11 1.2745e-12 -9.3351e-11 -1.8977e-12
