  Measurement Number     Measurement type
                  10               PQPUND

      Measurement ID                     
       739688.752405                     

          First Bias          Second Bias                Steps           Repetition
                 3.5                 -3.5                  100                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  198
    Voltages     CurrentP     CurrentC
     -2.9343  -6.7288e-05  -6.4769e-05
     -2.8636  -5.9873e-05  -5.7571e-05
     -2.7929  -5.4072e-05  -5.1162e-05
     -2.7222  -4.8329e-05   -4.601e-05
     -2.6515  -4.2968e-05  -4.2012e-05
     -2.5808  -3.8586e-05  -3.7762e-05
     -2.5101  -3.5021e-05  -3.3767e-05
     -2.4394  -3.1911e-05  -3.1222e-05
     -2.3687  -2.9075e-05  -2.8234e-05
      -2.298  -2.6911e-05   -2.597e-05
     -2.2273  -2.4168e-05  -2.3866e-05
     -2.1566   -2.263e-05  -2.1894e-05
     -2.0859  -2.0195e-05   -2.009e-05
     -2.0152  -1.8905e-05   -1.894e-05
     -1.9444  -1.7175e-05  -1.7307e-05
     -1.8737  -1.6622e-05  -1.5958e-05
      -1.803  -1.4452e-05  -1.3845e-05
     -1.7323  -1.2983e-05  -1.3401e-05
     -1.6616  -1.1858e-05  -1.1583e-05
     -1.5909  -1.1096e-05   -1.055e-05
     -1.5202   -1.023e-05  -9.4564e-06
     -1.4495  -9.0738e-06  -8.5755e-06
     -1.3788  -8.0758e-06  -7.6374e-06
     -1.3081  -7.2276e-06  -6.7823e-06
     -1.2374  -6.6694e-06  -5.9132e-06
     -1.1667  -6.0428e-06  -4.8922e-06
      -1.096  -5.6665e-06  -4.9222e-06
     -1.0253  -4.4754e-06  -4.4078e-06
    -0.95455   -4.051e-06  -3.7597e-06
    -0.88384   -3.515e-06  -3.3081e-06
    -0.81313  -3.0418e-06  -3.1401e-06
    -0.74242   -2.892e-06   -2.609e-06
    -0.67172  -2.1275e-06  -1.9888e-06
    -0.60101  -1.6424e-06  -1.5845e-06
     -0.5303  -1.5128e-06  -1.7497e-06
     -0.4596  -1.1218e-06  -1.3218e-06
    -0.38889  -6.8968e-07  -1.0075e-06
    -0.31818  -8.7088e-07   -3.217e-07
    -0.24747  -8.1025e-07  -3.4609e-07
    -0.17677  -7.7773e-08  -8.6136e-08
    -0.10606   9.3673e-08  -3.7118e-07

                  QV        Points number                  198
     Voltage       Charge
           0   7.4154e-12
    0.070707    4.537e-12
     0.14141  -2.6142e-11
     0.21212   -8.389e-11
     0.28283   -1.809e-10
     0.35354  -3.4427e-10
     0.42424  -5.7888e-10
     0.49495  -9.0132e-10
     0.56566  -1.3475e-09
     0.63636  -1.9453e-09
     0.70707    -2.73e-09
     0.77778  -3.7556e-09
     0.84848  -5.0499e-09
     0.91919  -6.6885e-09
      0.9899  -8.7565e-09
      1.0606  -1.1298e-08
      1.1313  -1.4395e-08
       1.202  -1.8109e-08
      1.2727  -2.2479e-08
      1.3434  -2.7536e-08
      1.4141  -3.3301e-08
      1.4848  -3.9805e-08
      1.5556  -4.7058e-08
      1.6263  -5.5078e-08
       1.697  -6.3871e-08
      1.7677  -7.3432e-08
      1.8384  -8.3776e-08
      1.9091  -9.4904e-08
      1.9798  -1.0683e-07
      2.0505  -1.1955e-07
      2.1212  -1.3307e-07
      2.1919  -1.4739e-07
      2.2626  -1.6096e-07
      2.3333  -1.7325e-07
       2.404  -1.8638e-07
      2.4747  -2.0038e-07
      2.5455  -2.1518e-07
      2.6162  -2.3073e-07
      2.6869    -2.47e-07
      2.7576  -2.6392e-07
